Images,OS distribution,Vulnerabilities,Packages,CRITICAL Vulnerabilities,names,labels,markers,alignment,vertical,rotation,hor,ver
bids/rshrf:1.0.1,alpine:3.8.4,5,35,4,rshrf,z,X,right,top,0,0.5,0.5
gkiar/mask2boundary:v0.1.0,alpine:3.9.0,15,61,3,mask2boundary,ak,X,center,bottom,0,0.5,15
gkiar/onevoxel:v0.3.0rc2,alpine:3.7.1,5,71,4,OneVoxel,af,X,left,top,0,0.5,0.5
mcin/docker-fsl:latest,centos 7,75,145,22,FLIRT,ae,X,right,bottom,0,6,14
bids/nipypelines:0.3.0,debian:8,641,157,162,nypypelines,r,X,center,center,0,0,0
mcin/ica-aroma:latest,centos 7,75,159,22,ICA_AROMA,al,X,right,top,0,11,6
bids/magetbrain,ubuntu:18.04,112,167,4,magetbrain,t,X,right,bottom,0,-3,18
mcin/qeeg:latest,centos 7,46,171,12,qeeg,ab,X,left,top,0,0.5,0.5
bt5e/ants:latest,centos 7,150,188,67,Laplacian,ah,X,center,bottom,0,8,40
bids/baracus,ubuntu:14.04,172,218,3,baracus,v,X,left,bottom,0,0.5,20
bigdatalabteam/hcp-prefreesurfer:exec-centos7-fslbuild-centos5-latest,centos 7,70,240,32,PreFreeSurfer2,ag,X,right,bottom,0,7,-5
bids/rs_signal_extract:0.1,ubuntu:16.04,867,241,44,signal,l,X,center,center,0,0,5
bids/broccoli:v1.0.0,centos 6,79,253,54,broccoli,d,X,right,bottom,0,10,43
bigdatalabteam/hcp-prefreesurfer:exec-centos7.freesurferbuild-centos4-latest,centos 7,70,254,32,PreFreeSurfer,ad,X,left,top,0,-7,-5
bids/brainiak-srm,ubuntu:16.04,897,258,46,brainiak,q,X,center,center,0,0,0
gkiar/dwipreproc_fsl-5.0.11_minified,ubuntu:16.04,391,269,6,FSL,aj,X,right,bottom,0,10,0.5
bids/afni_proc,ubuntu:17.10,67,277,0,afni,y,X,left,bottom,0,0,30
bids/mindboggle:0.0.4-1,debian:8,671,277,159,mindboggle,j,X,center,center,0,0,0
camarasu/creaphase:0.3,centos 7,54,288,17,creaphase,ac,X,left,top,0,0.5,0.5
bids/antscorticalthickness:v2.2.0-1,ubuntu:17.04,289,291,9,antscortical,w,X,right,center,0,-5,0.5
bids/freesurfer,ubuntu:14.04,353,298,13,freesurfer,b,X,left,bottom,0,0.5,16
bids/mrtrix3_connectome,ubuntu:18.04,275,347,3,mrtrix,k,X,left,center,0,13,0.5
bids/spm,ubuntu:14.04,191,349,4,spm,f,X,right,bottom,0,22,-15
bids/aa:v0.2.0,ubuntu:14.04,189,353,3,aa,m,X,left,top,0,-30,-10
poldracklab/mriqc:0.15.0,ubuntu:16.04,432,360,11,mriqc,g,X,left,center,0,0.5,0.5
bids/hcppipelines:v3.17.0-18,debian:8,526,380,79,hcppypelines,s,X,center,center,0,0,0
poldracklab/fmriprep:1.2.3,ubuntu:16.04,591,441,15,Fmriprep:1.2.3,ai,X,left,center,0,9,0.5
poldracklab/fmriprep:unstable,ubuntu:16.04,516,443,12,fmriprep,p,X,left,top,0,0.5,0.5
bids/dparsf:v4.3.12,ubuntu:14.04,507,506,5,dparsf,x,X,left,bottom,0,0.5,15
bids/example,ubuntu:14.04,838,528,19,example,a,X,left,center,0,15,-22
bids/tracula:v6.0.0-4,ubuntu:14.04,874,530,22,tracula,u,X,left,center,0,15,-2
bids/ndmg:v0.1.0,ubuntu:14.04,934,537,20,ndmg:v0.1.0,aa,X,right,bottom,0,-18,15
bids/ndmg,ubuntu:14.04,934,538,20,ndmg:latest,c,X,left,bottom,0,17,0.5
bids/fibredensityandcrosssection,ubuntu:14.04,1086,566,34,fibredensity,e,X,center,bottom,0,14,0.5
bids/cpac:v1.0.1a_22,ubuntu:16.04,698,600,18,cpac,h,X,left,top,0,0.5,0.5
bids/oppni:v0.7.0-1,ubuntu:14.04,913,762,27,oppni,o,X,center,top,0,14,0.5
bids/hyperalignment,ubuntu:16.04,1717,815,50,hyperalignment,I,X,left,center,0,0.5,0.5
bids/niak,ubuntu:16.04,1482,889,35,niak,n,X,left,center,0,0.5,0.5
